Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded,Freight_Cost_USD_Clean
-0.5139816399139195,-0.699397514601189,-0.40814302477502373,-0.5260054974975585,-0.5956547858900368,-0.284748972587089,2,2,1,1,1,0,2,2,2180.32
-0.32210624457191134,-0.22499527973188022,-0.5712163537340682,-0.5854068441262339,-0.32055133838053446,-0.23633321862196188,1,1,13,1,1,0,1,2,18387.8
-0.3234896288209525,-0.699397514601189,-0.03805759288575616,1.1415731551391293,0.2509637074829129,0.32044795197699993,1,15,2,1,1,0,1,11,6785.1
-0.5063730265441932,-0.8575315928909586,-0.3383778787435385,0.36796699968603025,0.4697527563321022,0.9014369995585254,1,7,6,5,1,1,3,4,16397.94
0.4401384766497652,-0.699397514601189,1.0757162731701886,1.497159984714061,-0.34832803501704024,-0.10722454138162293,4,3,10,1,1,1,1,2,7992.56
-0.48714398548252114,-0.22499527973188022,-0.31332290369817534,-0.48197358050900285,-0.5975572993582906,-0.33316472655221613,1,2,14,1,1,1,2,2,4659.75
-0.5146733320384401,0.24940695513742858,-0.5319676736137456,-0.3756715575415159,0.48573386946543434,-0.09915524905410174,1,10,5,4,1,0,2,1,2465.0
0.7004913923193106,-0.699397514601189,3.109427363367089,2.9553812076841712,-0.44345370842973125,-0.1717788800017924,2,2,2,1,1,0,1,2,4506.18
-0.39514893292128433,-0.699397514601189,-0.4440284139101928,-0.37203507059530205,-0.23341622153450955,-0.02653161810641105,2,2,6,1,1,0,1,2,8406.81
0.948947203447102,-0.699397514601189,3.4705645898830126,1.9271215084314688,-0.5503749653455958,-0.25247180327700425,1,2,9,1,1,1,1,2,119695.66
-0.5224202838330706,0.24940695513742858,-0.5410701583900783,-0.5145794077985006,-0.1390515535091201,-0.2444025109494831,1,10,15,4,1,0,2,1,1722.0
-0.4903257692553158,0.4075410334271982,-0.5502034990470087,-0.24147637417655415,1.991383028241507,0.19133927473666093,1,9,7,5,1,1,3,3,5781.14
-0.1969099700336868,-1.1579863416415208,-0.4849741674633909,-0.3150022199495249,0.12730033204641467,9.101444738346109,1,17,15,5,1,1,3,10,22433.91
1.3160973831426246,-0.22499527973188022,-0.36037812160972554,-0.20454540743179936,-0.19118042253927472,-0.19598675698435597,2,2,2,1,1,0,1,2,11292.05
-0.41659138878142227,-0.22499527973188022,-0.2987589280560431,-0.006768200653449403,-0.09567424643293299,-0.15564029534675006,2,2,2,1,1,0,1,2,13232.09
4.166145613017212,-0.22499527973188022,3.9050210921069075,4.22835861700844,-0.43926817879957286,-0.2766796802595678,1,3,6,1,1,1,1,2,146734.85
-0.5426176938690714,-0.22499527973188022,-0.5847929411970728,-0.6037955212641433,-0.3209318410741852,-0.23633321862196188,2,2,6,1,1,0,1,2,3470.0
-0.11888709838776564,-0.699397514601189,-0.5877242498538578,-0.6065683565084948,-0.2532023616043493,-0.04267020276145344,1,1,11,4,0,1,1,2,5018.69
-0.35157232907648794,0.4075410334271982,-0.44517008149230913,0.6701632678725743,1.991763530935158,0.19133927473666093,1,9,6,5,1,1,3,3,13093.27
